shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
f8939f8a-f65e-4d6f-8519-2c2840e3e6a5,37.2331077738699,-80.4250123033704,228,28036.56
a43aa2ac-7c35-4c0b-a970-437b91e4ba35,37.2316344341483,-80.4340765394204,11,1167.54
6add60f2-c611-432d-b7dc-83ccf50cad6e,37.2372021826439,-80.4348479974005,57,4651.43
98e4504d-d61b-4182-95cb-038c39551a3a,37.2313687045198,-80.4348960778055,15,1266.59
da4e0dbe-a20d-4ca9-80cb-7614cd29577c,37.2316371165297,-80.4284872528366,12,665.65
fd0937b3-48d6-4b86-9d74-e463b40d55f4,37.1618395251023,-80.4258348854994,142,14504.5
b8c51a51-84af-4a44-9a35-9f53382c3b05,37.2560208792287,-80.4106499642421,2,322.66
c9430839-4a0c-471d-83b5-6785322fce8a,37.2141073473756,-80.4442838099172,55,5157.66
f83a250c-9d24-4fcf-a339-5447d451fdf5,37.2090982348924,-80.4049777251367,8,1165.1
fd0937b3-48d6-4b86-9d74-e463b40d55f4,37.2329087793048,-80.4247542482096,15,441.73
6c8db17c-cc7e-4357-a5c5-21c8e98984ed,37.232523495673,-80.4235539907776,9,297.14
99f7a61c-9121-44a6-ac7a-8cd83a2bec8a,37.2340023618347,-80.4221162898248,15,626.85
bccd5bab-2cf0-4b7a-bbac-6523feb55222,37.2206413949012,-80.4243806535406,126,6915.3
af234ae3-0762-49b9-89ff-4665d5b32ac7,37.2321924893856,-80.423632001089,2,75.77
f83a250c-9d24-4fcf-a339-5447d451fdf5,37.2126602955258,-80.3935498233765,40,3179.81
8909fd06-51cb-4b38-b873-c3b148b909b0,37.2312492983,-80.4288242895978,52,7560.7
8edb0ac0-7024-48a5-a3bf-3ff8e8a7044f,37.2352410156938,-80.4205572345068,131,9160.85
f06184b6-e86d-4b52-bd0b-2b5ea817c97e,37.1940332872117,-80.3956247108666,135,8976.53
e570e646-82c5-4744-98dc-764a6d346163,37.2300946091286,-80.4267797328858,3,156.14
8c645223-1d5a-4351-adb6-43949e7cf524,37.2325385683429,-80.4239846706559,10,335.39
a26fa236-5b1f-44ff-93d3-aeaf75cc2973,37.232942757311,-80.4247656193566,15,319.55
009b7c3f-c455-4799-b8cf-815505da3f7e,37.2367913335903,-80.4268918109417,72,4234.15
af234ae3-0762-49b9-89ff-4665d5b32ac7,37.2402706210336,-80.4224234020927,94,4524.11
86a57bd8-fef0-4b5e-b079-990c8f500901,37.233386456557,-80.4250399528111,74,5564.05
99f7a61c-9121-44a6-ac7a-8cd83a2bec8a,37.2329131697276,-80.4177383890698,21,1137.51
0a3f36d7-c307-4463-b6c5-99406a7cffaf,37.2278347312884,-80.4396368736431,22,1901.69
0a3f36d7-c307-4463-b6c5-99406a7cffaf,37.2245009079278,-80.4473978547691,32,2701.49
c2c639a5-32f8-41e3-8221-8ebd4c904b68,37.2285349505267,-80.4197657358507,28,2740.46
25434fe2-1283-4de5-baa4-bb1845c06a9e,37.231579,-80.424478,106,8065.57
e708f6e7-1846-4ab0-b148-b3f768db6cb4,37.2365668259005,-80.4268186048757,16,1404.21
f06184b6-e86d-4b52-bd0b-2b5ea817c97e,37.2315738414316,-80.4252026530563,1,52.57
99f7a61c-9121-44a6-ac7a-8cd83a2bec8a,37.2052104547932,-80.3989637538833,39,4768.58
c9430839-4a0c-471d-83b5-6785322fce8a,37.2313511030588,-80.4289890682758,99,8958.71
