stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,wheelchair_boarding
8001,8001,Maroon Bay 1,,37.232025,-80.42459,0,0
2112,2112,Recreation Center,,37.15039,-80.41583,0,0
2178,2178,North Franklin/Church Sbnd,,37.1423341120681,-80.4151872047894,0,0
2302,2302,North Franklin/Wades Sbnd,,37.1363273046212,-80.4139547296736,0,0
2108,2108,Depot/New Wbnd,,37.1308095312306,-80.414608049585,0,0
2195,2195,Radford/Bower Wbnd,,37.127760328517,-80.4197737824782,0,0
2180,2180,Nugget Ridge Circle,,37.1264581159626,-80.4223057879392,0,0
2181,2181,Nugget Ridge/Radford Nbnd,,37.1275350229463,-80.4222789658474,0,0
2182,2182,Radford/Quesenberry Ebnd,,37.1276704745096,-80.4202404868746,0,0
2183,2183,Radford/Depot Ebnd,,37.1277509407849,-80.4166302333254,0,0
2152,2152,Radford/College Ebnd,,37.1270679016269,-80.4145428339501,0,0
2399,2399,"First\Hickok Ebnd",,37.1278722247009,-80.4090199622264,0,0
2110,2110,Montgomery County Courthouse,,37.1307281929689,-80.4077373688064,0,0
2179,2179,Roanoke/First Ebnd,,37.130467,-80.405432,0,0
2111,2111,Roanoke/Evans Ebnd,,37.13015554131,-80.4020913184936,0,0
2131,2131,Roanoke/Roberts Ebnd,,37.1303955909769,-80.3977292186459,0,0
2100,2100,Montgomery County Govt Center,,37.1314309317727,-80.3933151300737,0,0
2101,2101,Republic/Salem Nbnd,,37.1372177980672,-80.3961917994137,0,0
2104,2104,Depot/Cambria Wbnd,,37.1413030132068,-80.403968347926,0,0
2105,2105,Aquatic Center,,37.1383362792931,-80.4125063367192,0,0
2169,2169,"Lucas\Brown Ebnd",,37.1417087348017,-80.4101595969977,0,0
2172,2172,Montgomery/Cambria Ebnd,,37.1426806826468,-80.4057102413955,0,0
2173,2173,Cambria/Church Nbnd,,37.1436403479362,-80.4054990652501,0,0
2174,2174,Cambria/Progress Nbnd,,37.1466578332578,-80.4046930613931,0,0
2175,2175,Cambria/Tyler Nbnd,,37.148311415214,-80.4050243142262,0,0
2176,2176,Central/Cambria Wbnd,,37.1509989888071,-80.4104598111188,0,0
2177,2177,Central/North Franklin Wbnd,,37.149930128451,-80.4144254573837,0,0
2115,2115,Exit 118 Park and Ride,,37.133925336951,-80.3717886930602,0,0
2187,2187,Roanoke/Roger Ebnd ,,37.1353513486303,-80.3692550667932,0,0
2188,2188,Roanoke/Motor Ebnd ,,37.1362001209609,-80.3624867292168,0,0
2197,2197,Hampton Blvd Nbnd,,37.1390304226146,-80.3523759128913,0,0
2189,2189,Hampton Blvd Sbnd ,,37.1407547542206,-80.3523161010076,0,0
2190,2190,Hampton/Roanoke Sbnd ,,37.1382038408012,-80.3529618258094,0,0
2191,2191,Roanoke/Industrial Wbnd ,,37.1367522007982,-80.3601970212774,0,0
2113,2113,Simmons/Hammes Nbnd,,37.136386313223,-80.3700000268221,0,0
2153,2153,Electric Way/Fisher St Wbnd,,37.1366411023996,-80.3756033607355,0,0
2154,2154,Simpson Rd/Village Ln Wbnd,,37.139113,-80.378295,0,0
2155,2155,Electric Way/Fisher St Ebnd,,37.136589943477,-80.3751897988366,0,0
2192,2192,Roanoke/Falling Branch Wbnd,,37.1330818315197,-80.3766344712159,0,0
2116,2116,Roanoke/Hungate Wbnd,,37.1336332275745,-80.3836457293802,0,0
2117,2117,Roanoke/East Wbnd,,37.1315100569433,-80.3931153054902,0,0
2118,2118,Roanoke/Craig Wbnd,,37.130478020416,-80.3972942656143,0,0
2119,2119,Roanoke/Evans Wbnd,,37.1301635879376,-80.4026706756753,0,0
2120,2120,Christiansburg Town Hall,,37.1305661407307,-80.4079648970527,0,0
2398,2398,"First\Hickok Wbnd",,37.1279546568886,-80.4090057014713,0,0
2194,2194,Radford/College Wbnd,,37.1271112338967,-80.4145045825544,0,0
2196,2196,Depot/Sheltman Ebnd,,37.1302561241541,-80.4153239974573,0,0
2301,2301,North Franklin/Wades Nbnd,,37.1365123770542,-80.4138058670644,0,0
2170,2170,North Franklin/Church Nbnd,,37.1420310224313,-80.4150007912517,0,0
2303,2303,North Franklin/Central Nbnd,,37.1494684237015,-80.4146410718601,0,0
